주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
PAR-000015,선화동제6노상,공영,노상,대전광역시 중구 대종로594번길 1,대전광역시 중구 선화동 120-5,30,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.33532208,127.4181814,2022-09-16,3650000,대전광역시 중구
PAR-000016,선화동제7노상,공영,노상,대전광역시 중구 보문로 341,대전광역시 중구 선화동 151-1,16,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.3329134,127.4188053,2022-09-16,3650000,대전광역시 중구
PAR-000017,안영동제1노상,공영,노상,대전광역시 중구 안영로 34,대전광역시 중구 안영동 650,21,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.29206098,127.3797727,2022-09-16,3650000,대전광역시 중구
PAR-000018,안영동제3노상,공영,노상,대전광역시 중구 대둔산로 184번길 17,대전광역시 중구 안영동 694,14,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.28658038,127.3795899,2022-09-16,3650000,대전광역시 중구
PAR-000019,안영동제4노상,공영,노상,대전광역시 중구 성산로 16,대전광역시 중구 안영동 650,10,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.29125932,127.379876,2022-09-16,3650000,대전광역시 중구
PAR-000020,오류동제1노상,공영,노상,대전광역시 중구 오류로 41,대전광역시 중구 오류동 116-3,17,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.32400372,127.403482,2022-09-16,3650000,대전광역시 중구
PAR-000021,문화1동제7노상,공영,노상,대전광역시 중구 과례로 82,대전광역시 중구 문화동 12-7,50,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31446813,127.4142413,2022-09-16,3650000,대전광역시 중구
PAR-000022,문화1동제8노상,공영,노상,대전광역시 중구 과례로22번길 30,대전광역시 중구 문화동 147-4,33,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30939039,127.4103359,2022-09-16,3650000,대전광역시 중구
PAR-000023,문화1동제9노상,공영,노상,대전광역시 중구 천근로69번길 114,대전광역시 중구 문화동 418-1,41,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.3130288,127.4056914,2022-09-16,3650000,대전광역시 중구
PAR-000024,문화1동제10노상,공영,노상,대전광역시 중구 계백로1660번길 82-3,대전광역시 중구 문화동 354-14,5,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31625932,127.4055676,2022-09-16,3650000,대전광역시 중구
PAR-000025,문화1동제11노상,공영,노상,대전광역시 중구 계백로1658번길 79-2,대전광역시 중구 문화동 339-37,17,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31653307,127.4043535,2022-09-16,3650000,대전광역시 중구
PAR-000026,문화1동제12노상,공영,노상,대전광역시 중구 계백로 1686번길 51,대전광역시 중구 문화동 1-48,7,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31946021,127.407981,2022-09-16,3650000,대전광역시 중구
PAR-000027,문화2동제1노상,공영,노상,대전광역시 중구 문화로 153,대전광역시 중구 유천동 141-20,45,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.3138967,127.4022589,2022-09-16,3650000,대전광역시 중구
PAR-000028,문화2동제2노상,공영,노상,대전광역시 중구 당디로36번길 113,대전광역시 중구 문화동 671-10,15,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.3108995,127.399076,2022-09-16,3650000,대전광역시 중구
PAR-000029,문화2동제3노상,공영,노상,대전광역시 중구 문화로 170,대전광역시 중구 문화동 374-16,30,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31407452,127.404205,2022-09-16,3650000,대전광역시 중구
PAR-000030,문화2동제4노상,공영,노상,대전광역시 중구 천근로 22,대전광역시 중구 문화동 475-1,37,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30967208,127.4022519,2022-09-16,3650000,대전광역시 중구
PAR-000031,문화2동제5노상,공영,노상,대전광역시 중구 보문산로215번길 43,대전광역시 중구 문화동 493-1,72,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.3078604,127.4039467,2022-09-16,3650000,대전광역시 중구
PAR-000032,부사동제1노상,공영,노상,대전광역시 중구 충무로 139,대전광역시 중구 부사동 87-14,24,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31981529,127.4317576,2022-09-16,3650000,대전광역시 중구
PAR-000033,부사동제2노상,공영,노상,대전광역시 중구 대종로 373,대전광역시 중구 부사동 209-1,41,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.317337,127.4280138,2022-09-16,3650000,대전광역시 중구
PAR-000034,부사동제3노상,공영,노상,대전광역시 중구 사득로75번길 23,대전광역시 중구 부사동 166-1,36,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31074589,127.4370255,2022-09-16,3650000,대전광역시 중구
PAR-000035,부사동제4노상,공영,노상,대전광역시 중구 충무로92번길 48,대전광역시 중구 부사동 209-72,36,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.3156536,127.428417,2022-09-16,3650000,대전광역시 중구
PAR-000036,부사동제5노상,공영,노상,대전광역시 중구 사득로67번길 23,대전광역시 중구 부사동 364-67,10,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31014369,127.4365663,2022-09-16,3650000,대전광역시 중구
PAR-000037,부사동제6노상,공영,노상,대전광역시 중구 보문로63번길 28,대전광역시 중구 부사동 300-8,9,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31198026,127.4328328,2022-09-16,3650000,대전광역시 중구
PAR-000038,사정동제1노상,공영,노상,대전광역시 중구 대둔산로 350번길 6,대전광역시 중구 사정동 439-14,22,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30011182,127.3864591,2022-09-16,3650000,대전광역시 중구
PAR-000039,사정동제2노상,공영,노상,대전광역시 중구 대둔산로 326번길 23,대전광역시 중구 사정동 431-1,9,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.29850744,127.3860409,2022-09-16,3650000,대전광역시 중구
PAR-000040,산성동제1노상,공영,노상,대전광역시 중구 당디로 45,대전광역시 중구 산성동 37-1,145,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30853607,127.3926533,2022-09-16,3650000,대전광역시 중구
PAR-000041,금촌주차장,민영,노외,광주광역시 동구 경양로277번길 30,광주광역시 동구 계림동 284-2,16,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,800,,,,,,,,광주광역시 동구청,062-608-2914,35.15779224,126.9200418,2022-09-22,3590000,광주광역시 동구
PAR-000042,강변아파트 뒤 노상주차장,공영,노상,강원도 평창군 평창읍 서동로 2543-6,강원도 평창군 평창읍 중리 270-9,18,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36733667,128.4005555,2022-09-27,4280000,강원도 평창군
PAR-000043,남산로 노상주차장,공영,노상,강원도 평창군 대화면 대화중앙로 112,강원도 평창군 대화면 대화리 990-1,18,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.4989959,128.4560338,2022-09-27,4280000,강원도 평창군
PAR-000044,kt앞 노상 주차장,공영,노상,강원도 평창군 대화면 남산2길 5,강원도 평창군 대화면 대화리 1169-1,17,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.50101191,128.4556175,2022-09-27,4280000,강원도 평창군
PAR-000045,중앙로 노상주차장,공영,노상,강원도 평창군 진부면 진부중앙로 94,강원도 평창군 진부면 하진부리 90-6,187,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.6392384,128.5607073,2022-09-27,4280000,강원도 평창군
PAR-000046,금파정 옆 노상주차장,공영,노상,강원도 평창군 미탄면 미탄중앙로 54,강원도 평창군 미탄면 창리 778-12,15,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.34157736,128.4998383,2022-09-27,4280000,강원도 평창군
PAR-000047,메달플라자 주차장,공영,노상,강원도 평창군 대관령면 해당화3길 24,강원도 평창군 대관령면 횡계리 707,39,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.67215604,128.7047008,2022-09-27,4280000,강원도 평창군
PAR-000048,대관령성당앞 주차장,공영,노상,강원도 평창군 대관령면 눈마을길 47,강원도 평창군 대관령면 횡계리 339-1,6,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.67255532,128.7093483,2022-09-27,4280000,강원도 평창군
PAR-000049,천변리 주차장,공영,노외,강원도 평창군 평창읍 천변길 56,강원도 평창군 평창읍 천변리 46,230,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.3664892,128.3985184,2022-09-27,4280000,강원도 평창군
PAR-000050,우체국 뒤 주차장,공영,노외,강원도 평창군 평창읍 평창중앙로 66,강원도 평창군 평창읍 하리 428,23,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36873227,128.3959439,2022-09-27,4280000,강원도 평창군
PAR-000051,평창 중리 주차장,공영,노외,강원도 평창군 평창읍 노성로 266,강원도 평창군 평창읍 중리 105-2,25,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36905827,128.4045927,2022-09-27,4280000,강원도 평창군
PAR-000052,문화복지센터 주차장,공영,노외,강원도 평창군 평창중앙로 67,강원도 평창군 평창읍 하리 113-1,44,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36876982,128.3948846,2022-09-27,4280000,강원도 평창군
PAR-000053,터미널 뒤 주차장,공영,노외,강원도 평창군 평창읍 백오1길 14,강원도 평창군 평창읍 하리 434-2,43,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36664748,128.394201,2022-09-27,4280000,강원도 평창군
PAR-000054,군청 앞 주차장,공영,노외,강원도 평창군 평창읍 군청길 77,강원도 평창군 평창읍 하리 220-1,80,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.37127258,128.3901257,2022-09-27,4280000,강원도 평창군
PAR-000055,방범대 앞 주차장,공영,노외,강원도 평창군 평창읍 백오로 150,강원도 평창군 평창읍 중리 334-2,18,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36797499,128.3982722,2022-09-27,4280000,강원도 평창군
PAR-000056,소방서 앞 주차장,공영,노외,강원도 평창군 노성로 145,강원도 평창군 평창읍 중리 340,9,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.3684969,128.3974965,2022-09-27,4280000,강원도 평창군
PAR-000057,평창교회 앞 주차장,공영,노외,강원도 평창군 평창읍 노산성길 56,강원도 평창군 평창읍 중리 361,13,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36703932,128.3984729,2022-09-27,4280000,강원도 평창군
PAR-000058,노성산 주차장,공영,노외,강원도 평창군 평창읍 평창중앙로 158-8,강원도 평창군 평창읍 하리 19,50,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.3735428,128.3947329,2022-09-27,4280000,강원도 평창군
PAR-000059,청옥막국수 옆 주차장,공영,노외,강원도 평창군 평창읍 송학로 27-5,강원도 평창군 평창읍 하리 58-28,20,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36735955,128.3923852,2022-09-27,4280000,강원도 평창군
PAR-000060,백오아파트 뒤 주차장,공영,노외,강원도 평창군 평창읍 노람들길 18,강원도 평창군 평창읍 중리-358,16,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36806695,128.4021611,2022-09-27,4280000,강원도 평창군
PAR-000061,본전갈비 앞 주차장,공영,노외,강원도 평창군 평창읍 천변길 23,강원도 평창군 평창읍 하리 44-2,24,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36682524,128.3965681,2022-09-27,4280000,강원도 평창군
PAR-000062,효성타운 뒤 주차장,공영,노외,강원도 평창군 평창읍 향교길 43,강원도 평창군 평창읍 하리 66-3,19,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,강원도 평창군청,033-330-2285,37.36720204,128.3912693,2022-09-27,4280000,강원도 평창군
PAR-000063,대산아파트옆(11공영),공영,노외,강원도 태백시 풀미당골길 35,강원도 태백시 황지동 24,49,기타,미시행,평일,0:00,23:59,0:00,0:00,0:00,0:00,유료,30,500,10,200,5000,10000,75000,현금,경차+국가유공자+장애인 차량 59퍼센트 할인,강원도 태백시청,033-550-2105,37.17117887,128.9949238,2022-09-28,4220000,강원도 태백시
PAR-000064,중앙로 노외(12공영),공영,노외,강원도 태백시 황지로 139-11,강원도 태백시 황지동 45-46,35,기타,미시행,평일,0:00,23:59,0:00,0:00,0:00,0:00,유료,30,500,10,200,5000,10000,75000,현금,경차+국가유공자+장애인 차량 60퍼센트 할인,강원도 태백시청,033-550-2106,37.17134009,128.991602,2022-09-28,4220000,강원도 태백시
PAR-000065,황지연못 뒤(13공영),공영,노상,강원도 태백시 황지연못길 15,강원도 태백시 황지동 25-90,16,기타,미시행,평일,0:00,23:59,0:00,0:00,0:00,0:00,유료,30,500,10,200,5000,10000,75000,현금,경차+국가유공자+장애인 차량 61퍼센트 할인,강원도 태백시청,033-550-2107,37.17302557,128.9903229,2022-09-28,4220000,강원도 태백시
PAR-000066,대사동제2노상,공영,노상,대전광역시 중구 보문로125번길 13,대전광역시 중구 대사동 172,12,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31384778,127.4273945,2022-09-16,3650000,대전광역시 중구
PAR-000067,대사동제1노상,공영,노상,대전광역시 중구 계룡로929번길 40,대전광역시 중구 대사동 248-219,25,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.3203416,127.4174708,2022-09-16,3650000,대전광역시 중구
PAR-000068,대사동제3노상,공영,노상,대전광역시 중구 보문로 146,대전광역시 중구 대사동 95-16,14,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31672534,127.4268123,2022-09-16,3650000,대전광역시 중구
PAR-000069,대사동제4노상,공영,노상,대전광역시 중구 보문로 162번길 40,대전광역시 중구 대사동 77-70,33,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31840289,127.4277929,2022-09-16,3650000,대전광역시 중구
PAR-000070,대흥동제4노상,공영,노상,대전광역시 중구 중앙로 112,대전광역시 중구 대흥동 496-1,22,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.32670915,127.422546,2022-09-16,3650000,대전광역시 중구
PAR-000071,대흥동제5노상,공영,노상,대전광역시 중구 보문로230번길 21,대전광역시 중구 대흥동 452-96,19,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.32364497,127.4239688,2022-09-16,3650000,대전광역시 중구
PAR-000072,대흥동제9노상,공영,노상,대전광역시 중구 대흥로 178,대전광역시 중구 대흥동 104-5,4,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.32515636,127.4316426,2022-09-16,3650000,대전광역시 중구
PAR-000073,대흥동제10노상,공영,노상,대전광역시 중구 중앙로 100,대전광역시 중구 대흥동 499-1,20,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.32557502,127.4212953,2022-09-16,3650000,대전광역시 중구
PAR-000074,문창동제1노상,공영,노상,대전광역시 중구 대종로334번길 12,대전광역시 중구 부사동 126-2,14,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31559562,127.4344674,2022-09-16,3650000,대전광역시 중구
PAR-000075,문창동제2노상,공영,노상,대전광역시 중구 대종로386번길 71,대전광역시 중구 문창동 53-33,20,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.32156075,127.4341062,2022-09-16,3650000,대전광역시 중구
PAR-000076,문창동제3노상,공영,노상,대전광역시 중구 대전천서로 269,대전광역시 중구 문창동 367-29,230,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31482503,127.4387359,2022-09-16,3650000,대전광역시 중구
PAR-000077,문창동제4노상,공영,노상,대전광역시 중구 문창로 30,대전광역시 중구 문창동 107-11,22,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31674597,127.4354095,2022-09-16,3650000,대전광역시 중구
PAR-000078,문창동제5노상,공영,노상,대전광역시 중구 보문로 30번길 7,대전광역시 중구 문창동 361-2,24,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31444362,127.4373166,2022-09-16,3650000,대전광역시 중구
PAR-000079,문창동제6노상,공영,노상,대전광역시 중구 대종로296번길 40,대전광역시 중구 문창동 381-1,46,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31353717,127.4377474,2022-09-16,3650000,대전광역시 중구
PAR-000080,문창동제7노상,공영,노상,대전광역시 중구 대종로334번길 40,대전광역시 중구 문창동 123-23,30,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31618537,127.435948,2022-09-16,3650000,대전광역시 중구
